round,pick,team,player
1,1,Deejay,Marvin Harrison Jr.
1,2,Antonio,Malik Nabers
1,3,Marquel,Jonathon Brooks
1,4,Derrick,Keon Coleman
1,5,Antonio,Rome Odunze
1,6,Travian,Brian Thomas Jr.
1,7,Dae,Xavier Worthy
1,8,Ant,Brock Bowers
1,9,Antonio,Caleb Williams
1,10,Antonio,Ladd McConkey
2,1,Deejay,MarShawn Lloyd
2,2,Marquel,Jayden Daniels
2,3,BMoney,Trey Benson
2,4,Derrick,Tyler Conklin
2,5,Tyus,Xavier Legette
2,6,Travian,Blake Corum
2,7,Dae,Khalil Shakir
2,8,Deejay,Ricky Pearsall
2,9,Tommy,Raheem Mostert
2,10,Travian,Austin Ekeler
3,1,Deejay,Ben Sinnott
3,2,Tyus,Christian Kirk
3,3,BMoney,DeMario Douglas
3,4,Derrick,Ja'Lynn Polk
3,5,BMoney,Darnell Mooney
3,6,Travian,Mike Williams
3,7,Tommy,Rico Dowdle
3,8,BMoney,Tyler Allgeier
3,9,Marquel,Adonai Mitchell
3,10,BMoney,Ty Chandler
4,1,Travian,Bengals D/ST
4,2,Tommy,Dontayvion Wicks
4,3,BMoney,Bryce Young
4,4,BMoney,Jake Elliott
4,5,Marquel,Tyrone Tracy Jr.
